1931037287459558,IRR1MOTJ0101,MOTX1,Motogen-R,MOTJ,بموتوح,ح . موتوژن‌,IRR1MOTJ0108,20171213,1,موتوژن‌,A,N1,NO,1,31 ,3110,400
1982233425566381,IRB3TB329791,TB321,TreasuryBill181211,TB32,اخزا701,اسنادخزانه-م1بودجه97-970920,IRB3TB329790,20180826,2,اسنادخزانه اسلامي-م1بودجه1397,A,I1,NO,4,69 ,6940,306
2050740941534952,IRR1ALMR0101,ALMX1,Alomrad-R,ALMR,فمرادح,ح . آلومراد,IRR1ALMR0102,20171213,1,آلومراد,A,N2,NO,5,27 ,2720,400
2122354233695079,IRR1SBHN0101,SBHX1,Behbahan Cement-R,SBHN,سبهانح,ح . سيمان‌ بهبهان‌,IRR1SBHN0105,20190529,1,سيمان‌ بهبهان‌,A,N2,NO,5,53 ,5394,400
2135047529277416,IRR3ETLZ0101,ETLX1,Alborz Invest.-R,ETLZ,اعتلاح,ح سرمايه گذاري اعتلاء البرز,IRR3ETLZ0109,20190702,2,شركت سرمايه گذاري اعتلاء البرز,A,Z1,NO,3,56 ,5699,403
2147129961448440,IRO6MELZ97C1,TM141,Melli Mortgage1903,MELZ,تملي712,تسهيلات مسكن ب. ملي-اسفند97,IRO6MELZ97C6,20190326,2,تسهيلات مسكن بانك ملي ايران,A,Z1,NO,4,59 ,5910,307
2149279845014433,IRR1FGMS0101,FGMX1,Mashad Food-R,FGMS,غمشهدح,ح . فرآورده‌هاي‌ غذايي‌ مشهد,IRR1FGMS0103,20081126,1,فرآورده‌هاي‌ غذايي‌ مشهد,A,N4,NO,4,42 ,4299,400
2254054929817435,IRO1KDPS0001,KDPS1,P. Animal Feed,KDPS,غدام,خوراك‌  دام‌ پارس‌,IRO1KDPS0004,20190415,1,خوراك‌ دام‌ پارس‌,A,N2,NO,5,42 ,4233,300
2262715289665960,IRR1RADI0101,RADX1,Iran Radiator-R,RADI,ختورح,ح . رادياتور ايران‌,IRR1RADI0108,20171214,1,رادياتور ايران‌,A,N2,NO,5,34 ,3430,400
2318736941376687,IRO7SDRP0001,SDRP1,SADRA,SDRP,خصدرا,صنعتي‌ دريايي‌ ايران‌,IRO7SDRP0001,20180721,4,صنعتي‌ دريايي‌ ايران‌,A,P1,NO,7,45 ,4520,309
